reg,MAE all,mean,std
ExtraTreesRegressor(),0.026637808003488715,1.0464357852130572,0.20198478248990048
RandomForestRegressor(),0.2872351980174363,1.081878387289204,0.22487795656668913
NuSVR(),0.759056583725276,1.121210359551092,0.164928814639987
GradientBoostingRegressor(),0.5835732902598564,1.1236726183000407,0.19630975357551203
SVR(),0.717987459415364,1.1469087247871301,0.1704467735468755
HistGradientBoostingRegressor(),0.3011466524904639,1.1471610897825184,0.21395858757002195
AdaBoostRegressor(),0.8870918471948906,1.166185502128321,0.1408295387184749
BaggingRegressor(),0.31098174096163994,1.1672279208012437,0.21026991012454244
ARDRegression(),0.8377174139533341,1.1688917840682744,0.2659441030114708
KNeighborsRegressor(),0.632400947351564,1.1768943819801572,0.1618154950961893
LassoLarsIC(),0.8658959047425729,1.209937512442643,0.22718402860270226
KernelRidge(),0.8322135687557826,1.2133989841875263,0.23706378094830782
Ridge(),0.8286994023483312,1.224590196015995,0.24125972499756246
MLPRegressor(),0.6491568871692126,1.2250920992419536,0.22694669486461375
TweedieRegressor(),1.0818520882166378,1.2313724438644396,0.09983763987731371
BayesianRidge(),0.8318954014219632,1.2326291682377737,0.24821195684151534
CCA(),0.8263406215681678,1.2346351834848317,0.2557266391232279
QuantileRegressor(),1.2128027747727685,1.2462468848438666,0.15594425662497327
ElasticNet(),1.196430466171121,1.2514152932087508,0.15403091982617678
TheilSenRegressor(max_subpopulation=10000),0.8980187382594413,1.2516613695806855,0.15216795703102579
DummyRegressor(),1.216410240524528,1.2579895185324435,0.15825819750327352
LassoLars(),1.216410240524528,1.2579895185324435,0.15825819750327352
Lasso(),1.216410240524528,1.2579895185324435,0.15825819750327352
"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",0.8286994023483427,1.2585179148630492,0.2941793544095646
SGDRegressor(),0.8786627279347309,1.2601384203865007,0.21401926478537472
LassoCV(),0.9073157086655596,1.2619221877828228,0.10770926467191613
ElasticNetCV(),1.1328018767091736,1.2697195698232677,0.10789869481735229
LinearRegression(),0.8211335365789642,1.269804285876864,0.31787578611153267
TransformedTargetRegressor(),0.8211335365789642,1.269804285876864,0.31787578611153267
HuberRegressor(),0.8154447505335658,1.2709490900425078,0.26810642690292125
LinearSVR(),0.8158648069156639,1.2897033544900012,0.26451455645921457
LarsCV(),1.118070865691386,1.2917966452903644,0.10528343678022974
PLSRegression(),0.9117212971020362,1.2970863523823752,0.1161493479609756
OrthogonalMatchingPursuit(),0.9976899792490562,1.3029645619050454,0.20332589422432193
LassoLarsCV(),1.0918999185418348,1.305112110340969,0.13697408545908368
OrthogonalMatchingPursuitCV(),1.1202832454445086,1.3572899425998837,0.18434427277592916
DecisionTreeRegressor(),0.02663780800348603,1.3973774781158081,0.16018547451972878
ExtraTreeRegressor(),0.02663780800348603,1.4762873726204162,0.49488824878993687
PassiveAggressiveRegressor(),1.1749129807492458,1.5510279065643628,0.3135162163371141
GaussianProcessRegressor(),0.02663783870335738,1.6942606591245124,0.33887909109953596
RANSACRegressor(),1.2884121618187951,2.07438541420427,1.050823245651498
PLSCanonical(),2.330489896254626,2.364578473369984,0.6346991657553871
Lars(),0.9041792622947064,9.681686351267846e+18,1.9363372702535692e+19
RadiusNeighborsRegressor(),0.5662210479049031,,
