threshold,N_features,mae_mean,mae_std,r2_mean,r2_std,sp_mean,sp_std,slope_mean,slope_std
0.3,34,1.1187529154465663,0.166455829092827,0.19018680928216863,0.1558016841893116,0.37713953847937776,0.16223824974349368,0.7871503045356948,0.39384298275382423
0.35,29,1.116538390041666,0.14743717548299218,0.18800721468598608,0.14087163154694116,0.37877233911782604,0.14720384787677182,0.797365163201351,0.3723060538096174
0.4,27,1.1167123749301884,0.15633655259505144,0.19539805824833406,0.14743851319354748,0.3885779074880547,0.15233901834440813,0.8121039346332164,0.38096427401247646
0.45,24,1.1125475513271734,0.15016136088494517,0.17990719431235536,0.14108952128153096,0.3777931343880085,0.14875270690206766,0.7786056686922483,0.3666471225455107
0.5,23,1.1170001574423063,0.1527838623584544,0.17287418102765723,0.14029862668316448,0.364164009710329,0.1512769066190766,0.7623768076706223,0.3659354635426341
0.55,19,1.119836259537567,0.186509578561869,0.17034595789935586,0.15192692657699275,0.3646716471141634,0.1718431759153278,0.718421478363765,0.35736194436398655
0.6,17,1.1245007307169232,0.15958052292203523,0.16389143808080528,0.14141622936054157,0.35884041985876286,0.15653179167542502,0.7239296460258521,0.34172863002014864
0.65,17,1.1245007307169232,0.15958052292203523,0.16389143808080528,0.14141622936054157,0.35884041985876286,0.15653179167542502,0.7239296460258521,0.34172863002014864
0.7,16,1.1181694215385594,0.15482425319018933,0.1746006331490281,0.13859952932408506,0.3772727524307054,0.15107466858366894,0.7640254681101263,0.34944603773423794
0.75,14,1.1272610710519788,0.1685473859595194,0.1593411614449916,0.13777543297464545,0.3758888889428739,0.1452763518246574,0.7267522579211892,0.3203481997735773
0.8,11,1.188707481245926,0.18093472180215806,0.1104293779836317,0.13701468775462888,0.3064286589144715,0.15897135151721953,0.47643370567216425,0.37971136450395704
0.85,11,1.188707481245926,0.18093472180215806,0.1104293779836317,0.13701468775462888,0.3064286589144715,0.15897135151721953,0.47643370567216425,0.37971136450395704
0.9,9,1.2252889711182482,0.18263692864211845,0.08680762919954499,0.1315332570461343,0.26007453046875123,0.18310759239068175,0.46162988744652755,0.4820438656885753
0.95,9,1.2252889711182482,0.18263692864211845,0.08680762919954499,0.1315332570461343,0.26007453046875123,0.18310759239068175,0.46162988744652755,0.4820438656885753
1.0,9,1.2252889711182482,0.18263692864211845,0.08680762919954499,0.1315332570461343,0.26007453046875123,0.18310759239068175,0.46162988744652755,0.4820438656885753
