landcover,nesting ground,nesting wood,nesting stem,nesting cavity,management nesting,floral spring,floral summer,floral autumn,floral winter,management floral
20,0.93,0.93,0.93,0.93,0.1,0.87,0.87,0.87,0.87,0.1
30,0.8,0.8,0.8,0.8,0,1,1,1,1,0
40,0.2,0.2,0.2,0.2,0,0.1,0.1,0.1,0.1,0
50,0.22,0.22,0.22,0.22,0,0.1,0.1,0.1,0.1,0
60,0.5,0.5,0.5,0.5,0,0.23,0.23,0.23,0.23,0
70,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
90,0.3,0.3,0.3,0.3,0,0.6,0.6,0.6,0.6,0
100,0.9,0.9,0.9,0.9,0,1,1,1,1,0
111,0.8,0.8,0.8,0.8,0.1,0.3,0.3,0.3,0.3,0.1
112,0.8,0.8,0.8,0.8,0.1,0.9,0.9,0.9,0.9,0.1
113,0.8,0.8,0.8,0.8,0.1,0.3,0.3,0.3,0.3,0.1
114,0.8,0.8,0.8,0.8,0.1,0.9,0.9,0.9,0.9,0.1
115,0.8,0.8,0.8,0.8,0.1,0.6,0.6,0.6,0.6,0.1
116,0.8,0.8,0.8,0.8,0.1,0.6,0.6,0.6,0.6,0.1
121,0.8,0.8,0.8,0.8,0.1,0.3,0.3,0.3,0.3,0.1
122,0.8,0.8,0.8,0.8,0.1,0.9,0.9,0.9,0.9,0.1
123,0.8,0.8,0.8,0.8,0.1,0.3,0.3,0.3,0.3,0.1
124,0.8,0.8,0.8,0.8,0.1,0.9,0.9,0.9,0.9,0.1
125,0.8,0.8,0.8,0.8,0.1,0.6,0.6,0.6,0.6,0.1
126,0.8,0.8,0.8,0.8,0.1,0.6,0.6,0.6,0.6,0.1
200,0,0,0,0,0,0,0,0,0,0
